Question,Answer,Tags,Type
目前世界上发现的最早的笛子出土于哪个遗址？它由什么材料制成？,河南舞阳贾湖遗址。由骨制成（骨笛）。,"贾湖遗址, 考古发现, 音乐",Standard
贾湖遗址出土的刻符龟甲有什么重要意义？,上面刻画的符号，有的与商代甲骨文具有某些相似之处，对研究文字起源有重要价值。,"贾湖遗址, 文字起源, 龟甲",Standard
原始农业最初的耕作方式是什么？后来发展出什么更先进的耕作方式？,最初的耕作方式是刀耕火种。后来发展到使用耒耜等翻土工具进行耕种。,"原始农业, 耕作技术",Standard
判断对错：山顶洞人已经出现了贫富贵贱的社会差别。,错误。山顶洞人共同劳动，共同分配食物，没有贫富贵贱的差别。,"山顶洞人, 社会组织",True/False
填空：山顶洞人懂得埋葬逝者，这表明他们可能已经有了初步的______观念。,宗教或灵魂,"山顶洞人, 社会观念",Fill-in-the-blank
列举山顶洞人相比北京人（旧石器时代早期代表）的主要进步之处。（至少三点）,1. 掌握磨光、钻孔技术（如制作骨针）。2. 懂得人工取火。3. 有了审美观念（制作装饰品）。4. 会缝制衣服。5. 能进行远距离交换。6. 有爱美意识和埋葬习俗。,"山顶洞人, 北京人, 人类进步",Standard
下列哪项不是新石器时代的特征？ A. 使用打制石器 B. 制作陶器 C. 出现原始农业 D. 开始定居生活,A. 使用打制石器（新石器时代主要使用磨制石器）。,"新石器时代, 特征",Multiple Choice
"将下列遗址与其著名的出土物或特征连线：
1. 山顶洞遗址
2. 贾湖遗址
3. 东胡林遗址
4. 玉蟾岩遗址
A. 炭化粟和黍
B. 穿孔骨针
C. 骨笛和刻符龟甲
D. 早期栽培稻遗存","1-B, 2-C, 3-A, 4-D","考古遗址, 中国历史",Standard
原始农业兴起和发展的重要标志是什么？,农作物种植、家畜饲养的出现以及聚落、磨制石器的发展。,"原始农业, 农业起源",Standard
河姆渡遗址位于哪个省份？距今约多少年？,浙江省余姚市，距今约7000年。,"河姆渡遗址, 长江流域",Standard
河姆渡人的房屋主要是什么建筑形式？,干栏式建筑，以木桩插于地下，上面用木板拼接成屋。,"河姆渡人, 建筑",Standard
陶器的发明对原始人类生活有何重要意义？,可以煮熟食物，储存饮用水，有利于定居和农业生产。,"陶器, 生活工具",Standard
河姆渡遗址出土的最典型农业工具是什么？,骨耜。,"河姆渡遗址, 农业工具",Fill-in-the-blank
原始农业的发展经历了从刀耕火种到使用什么工具进行耕种？,耒耜等翻土工具。,"原始农业, 生产工具",Standard
河姆渡遗址中发现了大量什么农作物的遗迹？,人工栽培水稻。,"河姆渡遗址, 农作物",Standard
河姆渡人饲养的家畜主要有哪些？,猪、狗和水牛。,"河姆渡人, 家畜饲养",Standard
目前世界上发现最早的陶器之一出土于哪个遗址？,仙人洞遗址。,"陶器, 考古发现",Standard
河姆渡遗址中发现了迄今发现年代最早的什么类型水井？,木结构水井。,"河姆渡遗址, 水井",Standard
原始农业为古代文明社会的形成奠定了什么基础？,重要的物质基础。,"原始农业, 文明社会",Fill-in-the-blank
河姆渡人会制作哪些手工艺品？,陶器、玉器、简单的乐器骨哨，以及用象牙和兽骨制成的艺术品。,"河姆渡人, 手工艺",Standard
长江流域在七八千年前的气候特点是什么？,气候温暖湿润，雨水充沛。,"长江流域, 气候",Standard
稻作和粟作农业分别在我国哪两个地区逐渐推广？,稻作在南方，粟作在北方。,"原始农业, 作物分布",Standard
河姆渡遗址的发现表明长江中下游是什么的起源地之一？,亚洲稻的起源地之一。,"河姆渡遗址, 农业起源",Standard
最早的陶器是如何被远古先民发明的？,受泥土经火烧后变坚硬的启发，将泥捏容器烧烤而成。,"陶器, 发明",Standard
河姆渡人的干栏式建筑对中国古典建筑产生了什么影响？,产生了重要影响，是中国最早的木构建筑。,"干栏式建筑, 建筑史",Standard
出土距今10000多年陶器的地区包括哪些？,广西、湖南、江西等地。,"陶器, 考古发现",Standard
河姆渡遗址中稻谷堆积的最厚处达多少米？,1米。,"河姆渡遗址, 稻作农业",Fill-in-the-blank
原始农业的发展使农业在人们生活中所占比重发生什么变化？,逐渐增加。,"原始农业, 社会生活",Fill-in-the-blank
